"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Friend Family Health Center, Inc.","IL","Healthcare Provider","1419","10/14/2022","Hacking/IT Incident","Email","No",""
"Blue Cross and Blue Shield of Kansas","KS","Health Plan","1308","10/14/2022","Hacking/IT Incident","Network Server","No",""
"WakeMed Health and Hospitals","NC","Healthcare Provider","495808","10/14/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Springfield Clinic","IL","Healthcare Provider","802","10/14/2022","Loss","Other Portable Electronic Device","No",""
"Ascension St. Vincent’s Coastal Cardiology","GA","Healthcare Provider","71227","10/14/2022","Hacking/IT Incident","Network Server","No",""
"Premier Physical Therapy and Sports Performance, Limited Partnership","DE","Healthcare Provider","982","10/12/2022","Hacking/IT Incident","Email","No",""
"Sage Counseling Omaha","NE","Healthcare Provider","1359","10/12/2022","Theft","Electronic Medical Record","No",""
"Defense Health Headquarters","VA","Health Plan","1279","10/12/2022","Hacking/IT Incident","Network Server","No",""
"Aesthetic Dermatology Associates, PC","PA","Healthcare Provider","33793","10/10/2022","Hacking/IT Incident","Network Server","No",""
"Lifespire Services, Inc.","NY","Healthcare Provider","15375","10/07/2022","Hacking/IT Incident","Network Server","No",""
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas","TX","Healthcare Provider","1500","10/07/2022","Hacking/IT Incident","Network Server","No",""
"Urology of Greater Atlanta, LLC","GA","Healthcare Provider","79795","10/07/2022","Hacking/IT Incident","Network Server, Other","No",""
"Wisconsin Department of Health Services","WI","Health Plan","12358","10/07/2022","Unauthorized Access/Disclosure","Email","No",""
"Berkshire Farm Center & Services for Youth","NY","Healthcare Provider","951","10/06/2022","Hacking/IT Incident","Email","No",""
"Valle del Sol, Inc.","AZ","Healthcare Provider","70268","10/05/2022","Hacking/IT Incident","Network Server","No",""
"Family Medicine Shady Grove LLC","MD","Healthcare Provider","6482","10/03/2022","Hacking/IT Incident","Network Server","No",""
"Monroe Ear Nose and Throat Associates, PC","MI","Healthcare Provider","14500","09/30/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Anthem Health Plans of Kentucky, Incorporated","IN","Business Associate","537","09/29/2022","Theft","Other Portable Electronic Device","Yes",""
"Smith, Gambrell & Russell, LLP","GA","Business Associate","4688","09/28/2022","Hacking/IT Incident","Network Server","Yes",""
"McPherson Hospital, Inc.","KS","Healthcare Provider","19020","09/26/2022","Hacking/IT Incident","Network Server","No",""
"Extended MLTC","NY","Health Plan","5494","09/26/2022","Hacking/IT Incident","Network Server","Yes",""
"FMC Services, LLC","TX","Healthcare Provider","233948","09/23/2022","Hacking/IT Incident","Network Server","No",""
"Grayling Anesthesia Associates PC","MI","Healthcare Provider","15378","09/23/2022","Hacking/IT Incident","Network Server","No",""
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group","NE","Healthcare Provider","2020","09/23/2022","Hacking/IT Incident","Email","No",""
"WellMed Medical Management","TX","Healthcare Provider","10506","09/23/2022","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No",""
"Physician’s Business Office, Inc.","WV","Business Associate","196673","09/23/2022","Hacking/IT Incident","Network Server","Yes",""
"Bloomington Meadows Hospital","IN","Healthcare Provider","788","09/23/2022","Unauthorized Access/Disclosure","Email","No",""
"UW Medicine","WA","Healthcare Provider","3804","09/21/2022","Hacking/IT Incident","Network Server","Yes",""
"Berkshire Farm Center & Services for Youth  ","NY","Healthcare Provider","23058","09/16/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Landmark Management Services","FL","Healthcare Provider","501","09/15/2022","Hacking/IT Incident","Network Server","No",""
"Centerstone of Tennessee, Inc.","TN","Healthcare Provider","3675","09/12/2022","Hacking/IT Incident","Email","No",""
"SERV Behavioral Health Systems, Inc.","NJ","Healthcare Provider","8110","09/09/2022","Hacking/IT Incident","Network Server","No",""
"FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS","TN","Health Plan","983","09/09/2022","Hacking/IT Incident","Network Server","Yes",""
"The Sargent’s Group","PA","Business Associate","1650","09/09/2022","Hacking/IT Incident","Network Server","Yes",""
"Medical Associates of the Lehigh Valley","PA","Healthcare Provider","75628","09/09/2022","Hacking/IT Incident","Network Server","No",""
"Independent Living Systems, LLC","FL","Business Associate","501","09/02/2022","Hacking/IT Incident","Network Server","Yes",""
"Narragansett Bay Commission","RI","Healthcare Provider","2153","09/01/2022","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1704","08/31/2022","Theft","Paper/Films","No",""
"Trinity Health ","MI","Business Associate","5738","08/29/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Methodist McKinney Hospital","TX","Healthcare Provider","110244","08/26/2022","Hacking/IT Incident","Network Server","No",""
"Methodist Craig Ranch Surgical Center","TX","Healthcare Provider","15157","08/26/2022","Hacking/IT Incident","Network Server","No",""
"General Health System","LA","Healthcare Provider","46149","08/25/2022","Hacking/IT Incident","Network Server","No",""
"Farmville Internal Medicine","NC","Healthcare Provider","3000","08/25/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Community Bridges","NH","Healthcare Provider","10461","08/24/2022","Hacking/IT Incident","Network Server","No",""
"Warner Norcross and Judd, LLP","MI","Business Associate","255160","08/24/2022","Hacking/IT Incident","Network Server","Yes",""
"San Diego American Indian Health Center","CA","Healthcare Provider","27367","08/15/2022","Hacking/IT Incident","Network Server","No",""
"AdventHealth Medical Group OB GYN at Woodridge","IL","Healthcare Provider","2001","08/15/2022","Loss","Other Portable Electronic Device","No",""
"Priti Patel Physician PC","NY","Healthcare Provider","6877","08/14/2022","Hacking/IT Incident","Network Server","No",""
"Valley Baptist Medical Center – Harlingen","TX","Healthcare Provider","11137","08/12/2022","Hacking/IT Incident","Network Server","No",""
"Valley Baptist Medical Center - Brownsville","TX","Healthcare Provider","7496","08/12/2022","Hacking/IT Incident","Network Server","No",""
"Specialized Treatment Facility","MS","Healthcare Provider","1059","08/12/2022","Unauthorized Access/Disclosure","Email","No",""
"Rock County Human Services Department","WI","Healthcare Provider","25610","08/12/2022","Hacking/IT Incident","Email","No",""
"DataStat, Inc.","MI","Business Associate","1650","08/08/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Maternal and Family Health Services","PA","Healthcare Provider","500","08/08/2022","Hacking/IT Incident","Network Server","No",""
"Inline Network Integration, LLC","TX","Business Associate","500","08/05/2022","Hacking/IT Incident","Network Server","Yes",""
"Living Innovations","NH","Healthcare Provider","4000","08/05/2022","Hacking/IT Incident","Email","No",""
"Centerstone of Indiana, Inc.","IN","Healthcare Provider","1700","08/04/2022","Hacking/IT Incident","Email","No",""
"Independent Case Management, INC.","AR","Healthcare Provider","3307","08/03/2022","Hacking/IT Incident","Network Server","No",""
"Eventus WholeHealth PLLC","NC","Healthcare Provider","1707","07/29/2022","Hacking/IT Incident","Email","No",""
"Healthback Holdings, LLC ","OK","Healthcare Provider","21114","07/29/2022","Hacking/IT Incident","Email","No",""
"Minuteman Senior Services","MA","Healthcare Provider","4000","07/29/2022","Hacking/IT Incident","Email","No",""
"OneTouchPoint, Inc.","WI","Business Associate","4112892","07/27/2022","Hacking/IT Incident","Network Server","Yes",""
"Dr. Manaf Ahmad","TX","Healthcare Provider","3717","07/26/2022","Hacking/IT Incident","Email","No",""
"Allegheny Heath Network","PA","Healthcare Provider","8071","07/26/2022","Hacking/IT Incident","Email","No",""
"Lawson Products, Inc.","IL","Health Plan","791","07/26/2022","Hacking/IT Incident","Network Server","No",""
"Santa Rosa County District Schools","FL","Health Plan","9424","07/25/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Scott County, Iowa","IA","Business Associate","1583","07/25/2022","Hacking/IT Incident","Email","Yes",""
"NuLife Med, LLC","NH","Business Associate","3805","07/25/2022","Hacking/IT Incident","Network Server","Yes",""
"Center for Primary Care","GA","Healthcare Provider","2400","07/25/2022","Hacking/IT Incident","Email","No",""
"City of Newport, Rhode Island","RI","Health Plan","6109","07/22/2022","Hacking/IT Incident","Network Server","No",""
"Patriot Growth Insurance Services, LLC","PA","Business Associate","4614","07/21/2022","Hacking/IT Incident","Email","Yes",""
"Central Maine Medical Center","ME","Healthcare Provider","11938","07/21/2022","Hacking/IT Incident","Network Server","Yes",""
"Dow Rummel Village","SD","Healthcare Provider","1079","07/20/2022","Hacking/IT Incident","Email","No",""
"Zenith American Solutions","WA","Business Associate","37146","07/20/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Goodman Campbell Brain and Spine","IN","Healthcare Provider","362833","07/19/2022","Hacking/IT Incident","Network Server","No",""
"ProMedica","OH","Healthcare Provider","1178","07/19/2022","Unauthorized Access/Disclosure","Email","No",""
"Acts Retirement Services, Inc. and Affiliates","PA","Healthcare Provider","2236","07/15/2022","Hacking/IT Incident","Network Server","No",""
"Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ","NH","Healthcare Provider","1201","07/15/2022","Loss","Laptop","No",""
"Washington University School of Medicine","MO","Healthcare Provider","1056","07/14/2022","Hacking/IT Incident","Network Server","No",""
"Cornerstone Services","IL","Healthcare Provider","2513","07/08/2022","Hacking/IT Incident","Network Server","No",""
"Wisconsin Department of Health Services","WI","Health Plan","1698","07/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Southwest Health Center","WI","Healthcare Provider","46142","07/05/2022","Hacking/IT Incident","Network Server","No",""
"Cheyenne Regional Medical Center ","WY","Healthcare Provider","1652","07/05/2022","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record","No",""
"Carolina Behavioral Health Alliance, LLC","NC","Business Associate","130922","07/01/2022","Hacking/IT Incident","Network Server","Yes",""
"CHRISTUS Spohn Health System Corporation","TX","Healthcare Provider","15062","07/01/2022","Hacking/IT Incident","Network Server","No",""
"Michigan Avenue Immediate Care","IL","Healthcare Provider","144104","06/30/2022","Hacking/IT Incident","Network Server","No",""
"OrthoWest, PC","NE","Healthcare Provider","1369","06/30/2022","Hacking/IT Incident","Email","No",""
"Mattax Neu Prater Eye Center, Inc.","MO","Healthcare Provider","92361","06/28/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Hudson Regional Hospital","NJ","Healthcare Provider","1300","06/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Winslow Memorial Hospital d/b/a Little Colorado Medical Center","AZ","Healthcare Provider","1000","06/21/2022","Hacking/IT Incident","Network Server","No",""
"ARC Industries Inc. of Franklin County","OH","Healthcare Provider","22011","06/17/2022","Hacking/IT Incident","Network Server","No",""
"Help at Home ","IL","Healthcare Provider","800","06/17/2022","Improper Disposal","Paper/Films","No",""
"Tosoh America, Inc.","OH","Health Plan","880","06/17/2022","Hacking/IT Incident","Email","No",""
"City of Cincinnati Health Plan","OH","Health Plan","9769","06/16/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Liberty Healthcare Group ","NC","Healthcare Provider","2191","06/16/2022","Hacking/IT Incident","Email","No",""
"Mason Tenders’ District Council Welfare Fund","NY","Health Plan","13344","06/16/2022","Hacking/IT Incident","Network Server","No",""
"Baptist Medical Center","TX","Healthcare Provider","1608549","06/15/2022","Hacking/IT Incident","Network Server","No",""
"Resolute Health Hospital","TX","Healthcare Provider","54239","06/15/2022","Hacking/IT Incident","Network Server","No",""
"MCG Health, LLC","WA","Business Associate","793283","06/10/2022","Hacking/IT Incident","Network Server","Yes",""
"Bayshore Brightwaters Rescue Ambulance, Inc.","NY","Healthcare Provider","679","06/10/2022","Hacking/IT Incident","Email","No",""
"Yuma Regional Medical Center","AZ","Healthcare Provider","738145","06/09/2022","Hacking/IT Incident","Network Server","No",""
"90 Degree Benefits, Inc.","WI","Business Associate","172450","06/09/2022","Hacking/IT Incident","Network Server","Yes",""
"Christiana Spine Center, PA","DE","Healthcare Provider","3500","06/09/2022","Hacking/IT Incident","Network Server","No",""
"Southern Ohio Medical Center","OH","Healthcare Provider","1333","06/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Atrium Health at Home","NC","Healthcare Provider","6695","06/07/2022","Hacking/IT Incident","Email","No",""
"Memorial Community Health, Inc.","NE","Healthcare Provider","1658","06/06/2022","Hacking/IT Incident","Network Server","No",""
"Shields Health Care Group, Inc.","MA","Business Associate","2380483","05/27/2022","Hacking/IT Incident","Network Server","Yes",""
"University of Chicago Medical Center","IL","Healthcare Provider","2568","05/27/2022","Hacking/IT Incident","Email","No",""
"BJC Health System","MO","Business Associate","500","05/27/2022","Hacking/IT Incident","Email","Yes",""
"NLB Corporation","MI","Health Plan","1943","05/26/2022","Hacking/IT Incident","Network Server","No",""
"Comstar, LLC","MA","Business Associate","68957","05/26/2022","Hacking/IT Incident","Network Server","Yes",""
"Moyes Eye Center, PC","MO","Healthcare Provider","38000","05/25/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Family Health Care, Inc","KS","Healthcare Provider","33619","05/24/2022","Hacking/IT Incident","Network Server","No",""
"Allwell Behavioral Health Services","OH","Healthcare Provider","29972","05/23/2022","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Health Plan","500","05/23/2022","Hacking/IT Incident","Email","No",""
"Alameda Health System","CA","Healthcare Provider","90000","05/20/2022","Hacking/IT Incident","Email","No",""
"Partnership HealthPlan of California","CA","Health Plan","854913","05/18/2022","Hacking/IT Incident","Network Server","No",""
"Bryan County Ambulance Authority","OK","Healthcare Provider","14273","05/18/2022","Hacking/IT Incident","Network Server","No",""
"Northern Rockies Orthopaedics","MT","Healthcare Provider","6701","05/17/2022","Hacking/IT Incident","Email","No",""
"Apria Healthcare LLC","IN","Healthcare Provider","1868831","05/16/2022","Hacking/IT Incident","Email, Network Server","No",""
"Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division","MD","Health Plan","2008","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Parker-Hannifin Corporation Group Health Plans","OH","Health Plan","119513","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Schneck Medical Center ","IN","Healthcare Provider","92311","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Genetics & IVF Institute ","VA","Healthcare Provider","606","05/11/2022","Hacking/IT Incident","Network Server","No",""
"McKenzie Health System","MI","Healthcare Provider","25318","05/10/2022","Hacking/IT Incident","Network Server","No",""
"NuLife Med, LLC","NH","Healthcare Provider","92436","05/09/2022","Hacking/IT Incident","Network Server","No",""
"Mindpath Care Centers, North Carolina, PLLC ","NC","Healthcare Provider","1781","05/06/2022","Hacking/IT Incident","Email","No",""
"CareSource, Inc","OH","Health Plan","959","05/06/2022","Unauthorized Access/Disclosure","Laptop","Yes",""
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy","OH","Healthcare Provider","1720","05/06/2022","Unauthorized Access/Disclosure","Email","No",""
"Optum, Inc. ","MN","Business Associate","1584","05/06/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Greater Nashua Mental Health","NH","Healthcare Provider","1085","05/04/2022","Hacking/IT Incident","Network Server","No",""
"Ad Astra Eye LLC","KS","Healthcare Provider","3684","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Refuah Health Center","NY","Healthcare Provider","260740","04/29/2022","Hacking/IT Incident","Network Server","No",""
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin","NE","Healthcare Provider","14984","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Northern Eye Care Associates, P.C.","MI","Healthcare Provider","8000","04/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Affiliated Eye Surgeons","MI","Healthcare Provider","23400","04/28/2022","Hacking/IT Incident","Network Server","No",""
"Allied Eye Physicians and Surgeons, Inc.","OH","Healthcare Provider","20651","04/27/2022","Hacking/IT Incident","Network Server","Yes",""
"Southern Ohio Medical Center","OH","Healthcare Provider","15136","04/26/2022","Hacking/IT Incident","Network Server","No",""
"The Mental Health Center of Greater Manchester","NH","Healthcare Provider","1322","04/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Illinois Gastroenterology Group, PLLC","IL","Healthcare Provider","227943","04/22/2022","Hacking/IT Incident","Network Server","No",""
"Homestead Bldg Sys,Inc.Health  Plan","VA","Health Plan","727","04/21/2022","Hacking/IT Incident","Network Server","No",""
"The Energy Cooperative Group Benefits Plan","OH","Health Plan","875","04/21/2022","Hacking/IT Incident","Network Server","No",""
"Wayne Family Practice Associates, PC","GA","Healthcare Provider","5944","04/19/2022","Hacking/IT Incident","Network Server","No",""
"Fairfield County Implants and Periodontics, LLC","CT","Healthcare Provider","10502","04/19/2022","Hacking/IT Incident","Email","No",""
"Optima Dermatology Holdings, LLC","NH","Healthcare Provider","59872","04/18/2022","Hacking/IT Incident","Email","No",""
"New Creation Counseling Center ","OH","Healthcare Provider","24029","04/14/2022","Hacking/IT Incident","Network Server, Other","No",""
"Newman Regional Health","KS","Healthcare Provider","52224","04/14/2022","Hacking/IT Incident","Email","No",""
"Adaptive Health Integrations","ND","Healthcare Provider","510574","04/11/2022","Hacking/IT Incident","Network Server","No",""
"The MetroHealth System","OH","Healthcare Provider","1748","04/11/2022","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Paper/Films","No",""
"East Tennessee Children's Hospital","TN","Healthcare Provider","501","04/07/2022","Hacking/IT Incident","Network Server","No",""
"SummaCare Inc","OH","Health Plan","716","04/07/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Advantage Benefits Group","MI","Business Associate","7147","04/06/2022","Hacking/IT Incident","Email","Yes",""
"Law Enforcement Health Benefits, Inc.","PA","Health Plan","85282","03/28/2022","Hacking/IT Incident","Network Server","No",""
"Medical Surgical Eye Care","KS","Healthcare Provider","2000","03/28/2022","Hacking/IT Incident","Network Server","No",""
"Lutheran Social Services of Illinois","IL","Healthcare Provider","1000","03/25/2022","Hacking/IT Incident","Network Server","No",""
"Christie Business Holdings Company, P.C.","IL","Healthcare Provider","502869","03/25/2022","Hacking/IT Incident","Email","No",""
"Thomas Allen, Inc.","MN","Healthcare Provider","2803","03/23/2022","Hacking/IT Incident","Email","No",""
"Taylor Regional Hospital ","KY","Healthcare Provider","190209","03/21/2022","Hacking/IT Incident","Network Server","No",""
"Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers","CA","Healthcare Provider","34775","03/21/2022","Hacking/IT Incident","Network Server","No",""
